,adGroupId,adGroupName,attributedConversions14d,attributedConversions14dSameSKU,attributedSales14d,attributedSales14dSameSKU,campaignId,campaignName,clicks,cost,impressions
0,144152876005062166,Lightning headline,4.0,4.0,98.96,98.96,144128619076132074,Lightning headline,112.0,87.98,10528.0
1,144172887544605926,Micro USB Headline,0.0,0.0,0.0,0.0,144234234208353843,Micro USB Headline,8.0,4.31,1778.0
2,144183232215291904,Type C headline,0.0,0.0,0.0,0.0,144218053269835734,Type C headline,15.0,15.89,1994.0
3,144251509144922397,Lightning Headline 2 Pack,2.0,1.0,45.98,27.99,144363125977934804,Lightning Headline 2 Pack,7.0,6.38,1744.0
4,144318917724310303,Lightning Headline 1 Pack,6.0,5.0,206.9,122.93,144387653378870452,Lightning Headline 1 Pack,87.0,67.11,11970.0
5,144389174272576660,Lightning 1 pack/2 pack/10ft,,,,,144246044711029553,Lightning 1 pack/2 pack/10ft,,,
6,144342301864777374,Leather Case Headline,,,,,144377002898337630,Leather Case Headline,,,
7,144290043301275504,headline-3350,,,,,144247026959826085,headline-3350,,,
8,144135442588191232,Lightning 2 Pack Headline,,,,,144377512899327545,Lightning 2 Pack Headline,,,
9,144344504598194217,Lightning 1 Pack Headline,,,,,144275915069863599,Lightning 1 Pack Headline,,,
10,144254915100125875,Headline portable charger,,,,,144385662719164127,Headline portable charger,,,
