,attributedConversions14d,attributedConversions14dSameSKU,attributedConversions1d,attributedConversions1dSameSKU,attributedConversions30d,attributedConversions30dSameSKU,attributedConversions7d,attributedConversions7dSameSKU,attributedSales14d,attributedSales14dSameSKU,attributedSales1d,attributedSales1dSameSKU,attributedSales30d,attributedSales30dSameSKU,attributedSales7d,attributedSales7dSameSKU,attributedUnitsOrdered14d,attributedUnitsOrdered1d,attributedUnitsOrdered30d,attributedUnitsOrdered7d,campaignId,campaignName,clicks,cost,impressions,keywordId,keywordText,matchType,query
0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,174450195659085,iphone x/xs/xr/xs max protector auto,1,0.84,1,259265936280227,*,BROAD,anti glare screen protector
1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,174450195659085,iphone x/xs/xr/xs max protector auto,1,0.98,2,259265936280227,*,BROAD,best iphone xs cover
2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,174450195659085,iphone x/xs/xr/xs max protector auto,1,0.93,15,259265936280227,*,BROAD,iphone x plus screen protector
3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,174450195659085,iphone x/xs/xr/xs max protector auto,2,2.21,5,259265936280227,*,BROAD,non fingerprint screen protector
4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,174450195659085,iphone x/xs/xr/xs max protector auto,1,0.35000000000000003,2,259265936280227,*,BROAD,s 10+ tempered glass fingerprint
5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,176612412977,iphone x/xs/xr/xs max protector manual,1,1.15,69,198569108429160,iphone x screen protector matte,EXACT,iphone x screen protector matte
6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96053032655072,3350 Portable charger auto,1,0.52,1,250648279269319,*,BROAD,b07kxmpgc9
7,1,0,1,0,1,0,1,0,23.99,0.0,23.99,0.0,23.99,0.0,23.99,0.0,1,1,1,1,96053032655072,3350 Portable charger auto,1,0.48,4,250648279269319,*,BROAD,battery bank flashlight
8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,96053032655072,3350 Portable charger auto,1,0.24,3,250648279269319,*,BROAD,smallest flashlight
9,1,1,1,1,1,1,1,1,18.99,18.99,18.99,18.99,18.99,18.99,18.99,18.99,1,1,1,1,54846112529957,3350 Portable charger manual,1,0.51,60,7445245611310,lipstick portable charger,BROAD,portable charger lipstick
10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54846112529957,3350 Portable charger manual,2,3.59,27,139679948965750,portable charger flashlight,BROAD,portable charger flashlight
11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54846112529957,3350 Portable charger manual,1,0.78,234,89642175376505,pocket portable charger,BROAD,pocket portable charger
12,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,269492915958144,travel adapter manual,2,3.65,74,17460564511628,universal travel adapter,EXACT,universal travel adapter
13,1,0,1,0,1,0,1,0,29.99,0.0,29.99,0.0,29.99,0.0,29.99,0.0,1,1,1,1,269492915958144,travel adapter manual,1,1.85,227,7323832628238,universal power adapter,EXACT,universal power adapter
14,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,269492915958144,travel adapter manual,2,3.89,256,123056860104604,travel charger,EXACT,travel charger
15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,269492915958144,travel adapter manual,1,1.77,201,138489346802413,plug adapter,EXACT,plug adapter
16,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,269492915958144,travel adapter manual,1,1.72,12,138489346802413,plug adapter,EXACT,plug adapters
17,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80941779237222,iPhone x leather case manual,8,5.99,888,238133177045645,iphone x silicone case,EXACT,iphone x silicone case
18,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,269492915958144,travel adapter manual,1,2.39,30,83267106778093,uk travel adapter,EXACT,uk travel adapter
19,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,269492915958144,travel adapter manual,1,2.5700000000000003,32,77787441021166,world travel adapter,EXACT,world travel adapter
20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,1,1.85,63,78604215663368,lightning cable 3ft,BROAD,lightning cable 3ft braided
21,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,1,2.45,33,49311837206860,apple cable 3ft,BROAD,apple lightning cable 3ft
22,1,1,0,0,1,1,0,0,17.99,17.99,0.0,0.0,17.99,17.99,0.0,0.0,1,0,1,0,109119336754127,lightning manual,1,2.0,11,253120809891586,apple cable 6ft,BROAD,apple certified 6ft lightning cable
23,1,1,0,0,1,1,1,1,17.99,17.99,0.0,0.0,17.99,17.99,17.99,17.99,1,0,1,1,109119336754127,lightning manual,1,2.22,48,253120809891586,apple cable 6ft,BROAD,apple certified lightning cable 6ft
24,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,1,2.09,1,253120809891586,apple cable 6ft,BROAD,long apple iphone cable 6ft
25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,1,2.89,41,76149703414516,apple charger 6ft,BROAD,apple iphone charger 6ft
26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,1,2.37,13,173485173645083,apple charger cable 6ft,BROAD,apple iphone charger cable 6ft
27,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,1,1.9,184,152974697107563,apple charger cord 6ft,BROAD,apple cord charger 6ft
28,1,1,1,1,1,1,1,1,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,1,1,1,1,109119336754127,lightning manual,1,1.42,5,152974697107563,apple charger cord 6ft,BROAD,apple ipad charger cord 6ft apple certified
29,1,1,0,0,1,1,1,1,17.99,17.99,0.0,0.0,17.99,17.99,17.99,17.99,1,0,1,1,109119336754127,lightning manual,1,1.49,12,145252097819348,apple cord 6ft,BROAD,apple cord 6ft
30,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,1,1.75,5,95275262453575,iphone charger 6ft,BROAD,6ft iphone 10 charger
31,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109119336754127,lightning manual,1,2.47,4,95275262453575,iphone charger 6ft,BROAD,6ft iphone charger colored
